index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
185,3,2,10,1,6,10,2,0,0,2017-12-04T00:00:00,5,7,1400
199,2,2,10,1,7,10,2,0,0,2017-12-18T00:00:00,5,7,1400
517,3,2,21,1,5,10,2,2,2,2018-05-03T00:00:00,5,4,1400
409,3,2,22,1,6,10,3,2,7,2018-01-15T00:00:00,8,4,1400
169,3,1,21,1,2,20,1,0,0,2018-05-19T00:00:00,2,6,1800
107,3,2,10,2,7,10,2,2,7,2018-03-18T00:00:00,6,8,1800
72,3,2,10,2,7,10,3,3,6,2018-02-11T00:00:00,8,4,1800
157,3,2,22,1,2,20,2,1,6,2018-05-07T00:00:00,7,7,1800
192,3,2,21,1,6,10,2,0,0,2017-12-11T00:00:00,4,3,1400
35,3,2,21,1,5,10,2,3,6,2018-01-05T00:00:00,6,2,1800
100,3,2,10,2,7,10,3,2,5,2018-03-11T00:00:00,5,4,1800
386,2,1,10,2,7,10,2,2,4,2017-12-23T00:00:00,8,7,1400
332,3,2,22,1,2,20,2,0,0,2018-04-30T00:00:00,4,3,1400
531,3,1,21,1,2,20,1,0,0,2018-05-17T00:00:00,4,2,1400
520,3,1,21,2,6,10,2,2,2,2018-05-06T00:00:00,5,6,1400
461,3,2,21,1,6,10,2,0,0,2018-03-08T00:00:00,4,3,1400
530,3,2,21,1,2,20,1,0,0,2018-05-16T00:00:00,5,1,1400
123,3,3,10,1,7,10,2,0,0,2018-04-03T00:00:00,4,4,1800
300,3,2,21,1,6,10,2,2,7,2018-03-29T00:00:00,5,4,1400
443,3,2,10,1,6,10,3,3,7,2018-02-18T00:00:00,4,1,1400
534,3,1,21,1,2,20,1,0,0,2018-05-20T00:00:00,5,6,1400
259,3,2,21,1,6,10,3,3,7,2018-02-16T00:00:00,4,3,1400
330,3,2,10,1,7,10,2,2,2,2018-04-28T00:00:00,4,8,1400
160,3,2,22,1,2,20,2,1,4,2018-05-10T00:00:00,7,5,1800
242,3,2,21,1,6,10,2,1,7,2018-01-30T00:00:00,5,7,1400
532,3,1,21,1,2,20,1,0,0,2018-05-18T00:00:00,4,2,1400
311,3,2,21,1,6,10,2,2,4,2018-04-09T00:00:00,4,3,1400
453,3,2,21,1,6,10,2,2,6,2018-02-28T00:00:00,7,3,1400
350,3,1,21,1,2,20,1,0,0,2018-05-18T00:00:00,2,8,1400
488,2,1,10,3,7,10,3,3,5,2018-04-04T00:00:00,5,6,1400
406,3,2,10,1,6,10,2,1,7,2018-01-12T00:00:00,2,4,1400
170,3,1,21,1,2,20,1,0,0,2018-05-20T00:00:00,6,6,1800
263,3,2,10,1,6,10,2,2,7,2018-02-20T00:00:00,2,3,1400
326,3,2,21,2,4,10,2,2,2,2018-04-24T00:00:00,4,6,1400
56,3,2,21,1,6,10,3,1,7,2018-01-26T00:00:00,5,8,1800
309,3,2,21,1,6,10,2,2,7,2018-04-07T00:00:00,5,5,1400
134,3,2,21,1,7,10,3,3,2,2018-04-14T00:00:00,5,4,1800
380,2,2,10,1,7,10,2,0,0,2017-12-17T00:00:00,4,6,1400
392,3,2,10,1,6,10,2,0,0,2017-12-29T00:00:00,4,7,1400
354,3,1,21,1,2,20,1,0,0,2018-05-22T00:00:00,4,1,1400
476,3,1,21,1,6,10,2,1,7,2018-03-23T00:00:00,4,5,1400
9,3,2,21,1,6,10,2,0,0,2017-12-10T00:00:00,5,6,1800
433,3,2,21,1,5,10,2,1,7,2018-02-08T00:00:00,6,6,1400
117,3,2,21,2,7,10,3,2,6,2018-03-28T00:00:00,6,4,1800
340,3,2,22,1,2,20,2,0,0,2018-05-08T00:00:00,5,5,1400
243,3,2,21,1,5,10,2,1,7,2018-01-31T00:00:00,5,5,1400
153,3,2,21,1,5,10,2,2,2,2018-05-03T00:00:00,6,5,1800
510,3,1,22,1,2,20,1,0,0,2018-04-26T00:00:00,4,6,1400
417,3,1,21,3,7,10,2,3,7,2018-01-23T00:00:00,5,5,1400
506,3,2,22,1,2,20,2,2,4,2018-04-22T00:00:00,4,4,1400
413,3,2,10,2,6,10,2,2,7,2018-01-19T00:00:00,4,4,1400
502,3,2,22,1,2,20,2,2,7,2018-04-18T00:00:00,5,7,1400
149,3,2,10,1,6,10,2,2,2,2018-04-29T00:00:00,4,1,1800
142,3,2,22,1,2,20,2,2,7,2018-04-22T00:00:00,4,5,1800
93,3,2,10,2,7,10,2,3,7,2018-03-04T00:00:00,4,4,1800
121,3,3,10,1,7,10,2,0,0,2018-04-01T00:00:00,4,1,1800
519,3,1,21,1,6,10,2,2,2,2018-05-05T00:00:00,4,7,1400
282,3,2,21,1,5,10,2,2,7,2018-03-11T00:00:00,5,4,1400
1,3,2,10,1,6,10,2,2,7,2017-12-02T00:00:00,7,7,1800
